번호,대화A,대화B,,,,,,,,,,,,,,,
4797,가: 민준이가 몇 시간째 통화를 하고 있는데?,나: 걔가 애인과 전화하느라 시간이 가는 줄 모르나 봐.,,,,,,,,,,,,,,,
4798,가: 유럽 여행을 다녀온 얘기를 좀 해 봐. 듣고 싶어.,나: 좋아. 먼저 내가 처음 여행했던 곳은 프랑스였어.,,,,,,,,,,,,,,,
4799,"가: 김 부장님, 이번 달 말에 시작될 프로젝트에 관해 드릴 말씀이 있어요.",나: 미안하지만 지금은 제가 좀 바쁘니 자세한 얘기는 이따 다시 합시다.,,,,,,,,,,,,,,,
4800,가: 우리 마을 장승에 얽힌 얘기 들었니?,"나: 아니, 잘 몰라. 할머니께 여쭤 봐야지.",,,,,,,,,,,,,,,
4801,가: 너 민준이가 이번 학기에 자퇴했다는 소식 들었어?,나: 아니. 나로서는 처음 듣는 얘기야. 좀 자세히 말해 봐.,,,,,,,,,,,,,,,
4802,가: 이 말은 어느 나라 말이에요?,나: 그건 중동 사람들이 사용하는 언어란다.,,,,,,,,,,,,,,,
4803,가: 이 강아지를 친구가 그냥 줬다고?,"나: 응, 친한 친구에게 얻었어.",,,,,,,,,,,,,,,
4804,가: 어? 이 연극은 작년에 공연되었는데 올해도 또 하나 봐?,"나: 응, 그 연극이 작년에 관객들에게 좋은 호응을 얻어서 한 번 더 공연하게 된 거래.",,,,,,,,,,,,,,,
4805,"가: 선배, 이 부분에서 막혀서 더 이상 연구를 진행할 수가 없어요.",나: 그럼 이 책을 참고해 봐. 네 연구 주제와 관련된 정보를 얻을 수 있을 거야.,,,,,,,,,,,,,,,
4806,가: 우리가 이 집을 사려면 은행에서 융자를 얻어야 해.,나: 그래? 이렇게 많은 돈이 드는지 몰랐네.,,,,,,,,,,,,,,,
4807,가: 새로 이사한 집이 참 좋네요. 이 집을 어떻게 얻었어요?,"나: 네, 전세로 계약하고 들어왔어요.",,,,,,,,,,,,,,,
4808,"가: 나 말이야, 합격자로 선발되었어!",나: 정말 잘되었다! 어렵게 얻은 기회이니 최선을 다해서 면접을 준비하렴.,,,,,,,,,,,,,,,
4809,"가: 사장님, 우리 회사의 사업이 점점 확장되는데 일손을 더 얻어야 하지 않을까요?","나: 그래, 아마도 일할 사람이 더 필요하겠지?",,,,,,,,,,,,,,,
4810,가: 얼마 전에 며느리를 얻으셨다면서요? 축하 드려요.,나: 고마워요. 새로 들어온 며느리가 싹싹해서 요즘 집안 분위기가 참 좋아요.,,,,,,,,,,,,,,,
4811,가: 요새 좀 괜찮아져서 요즘은 병원을 잘 안 다녀.,나: 제때 잘 치료하지 않으면 나중에 또 병을 얻을 수도 있어.,,,,,,,,,,,,,,,
4812,가: 어머니께 방이 춥지 않으시냐고 여쭈어 보아라.,나: 괜찮다고 하십니다.,,,,,,,,,,,,,,,
4813,가: 진작 인사를 여쭙고 했어야 했는데 제가 너무 무심했습니다.,"나: 아니다, 먼 길 와 줘서 고맙구나.",,,,,,,,,,,,,,,
4814,가: 제가 해외로 여행을 가려고 하는데 어떻게 하면 비행기 표를 싸게 구할 수 있을까요?,나: 여행사를 통해서 사면 할인된 가격으로 살 수 있을 거예요.,,,,,,,,,,,,,,,
4815,가: 실례합니다만 역이 어디에 있는지 아십니까?,나: 저 모퉁이를 돌아서 가시면 기차가 보일 거예요.,,,,,,,,,,,,,,,
4816,가: 여기 인터넷을 어떻게 연결하는지 아니?,나: 아마 자동 연결이 될 거야.,,,,,,,,,,,,,,,
4817,가: 너 선생님께 급히 오라는 연락 받았니?,"나: 아니, 안 받았는데?",,,,,,,,,,,,,,,
4818,가: 열차 안에서 그렇게 음식물을 드시면 다른 승객들이 조금 불편해 하실 수 있어요.,나: 죄송합니다. 제가 잘 몰랐어요.,,,,,,,,,,,,,,,
4819,가: 네 앞으로 엽서가 한 통 왔더구나.,나: 네. 영국에서 공부하는 친구가 보낸 거예요.,,,,,,,,,,,,,,,
4820,가: '안녕'을 영어로 뭐라고 하지?,"나: 글쎄, 영어 사전을 찾아보자.",,,,,,,,,,,,,,,
4821,가: 교수님께 논문을 드릴 때 '드림'이 나을까 '올림'이 나을까?,나: 더 공손하게 보이려면 '올림'으로 쓰는 게 낫지 않을까?,,,,,,,,,,,,,,,
4822,가: 외국어를 공부할 때는 역시 말하기가 중요한 것 같아.,"나: 아니야, 쓰기도 말하기 못지않게 중요해.",,,,,,,,,,,,,,,
4823,가: 운전 좀 살살 해. 하마터면 사고가 날 뻔했잖아.,나: 미안해. 조심할게.,,,,,,,,,,,,,,,
4824,가: 선장이 운전을 잘못해서 해상 선박 사고가 났대.,"나: 그 사람은 배를 20년 이상 몰아 온 유능한 운전사라는데, 어쩌다 그런 사고를 냈을까?",,,,,,,,,,,,,,,
4825,가: 넌 군인이 그렇게 좋니?,나: 우리나라가 위험에 처했을 때 군인들이 우리를 지켜 주잖아.,,,,,,,,,,,,,,,
4826,가: 횡단보도가 멀리 있다.,나: 약속 시간에 늦었으니까 육교로 길을 건너자.,,,,,,,,,,,,,,,
4827,가: 영어로 쓰여 있는데 이건 무슨 의미야?,"나: 나도 모르는 단어야, 사전 찾아볼게.",,,,,,,,,,,,,,,
4828,가: 이 선물 그냥 받아도 되는 거야?,나: 별다른 의미 없이 그냥 주는 거니까 부담 가지지 말고 받아.,,,,,,,,,,,,,,,
4829,가: 대충 처리하고 끝내자고.,나: 일을 끝내기만 하는 게 무슨 의미가 있겠어?,,,,,,,,,,,,,,,
4830,가: 아랫배가 매일 아픈 게 아무래도 이상해요.,나: 어서 의사 선생님을 만나 보는 게 좋을 것 같아.,,,,,,,,,,,,,,,
4831,"가: 민준아, 너는 툭하면 화내는 그런 성격을 고칠 필요가 있어.",나: 그건 나도 아는데 화를 좀처럼 못 이기겠어.,,,,,,,,,,,,,,,
4832,가: 일이 너무 힘들어서 당장이라도 그만두고 싶다.,나: 그렇지만 지금 힘든 걸 이겨 내고 일을 마무리 지으면 더 큰 성취감을 느낄 수 있을 거야.,,,,,,,,,,,,,,,
4833,가: 이기지도 못할 술을 왜 그렇게 마셨니?,나: 오늘 여자 친구와 헤어졌어.,,,,,,,,,,,,,,,
4834,가: 유럽으로 여행 다녀온 이야기 좀 해 봐.,나: 그래. 잘 들어 봐.,,,,,,,,,,,,,,,
4835,가: 나는 사람들하고 이야기를 할 때 주로 내가 말을 하는 편이야.,나: 그래? 나는 주로 듣는 편인데.,,,,,,,,,,,,,,,
4836,가: 오늘도 재미있는 이야기 들려주세요.,나: 오늘은 뒷산 바위에 대한 이야기를 해 줄까?,,,,,,,,,,,,,,,
4837,가: 요즘 사업이 어렵다면서?,나: 누가 그렇게 근거 없는 이야기를 퍼뜨리고 다니는 거야?,,,,,,,,,,,,,,,
4838,가: 이사는 잘 했어?,나: 응. 이제 슬슬 이웃들에게 인사 다니러 갈까 해.,,,,,,,,,,,,,,,
4839,가: 인사 드려. 우리 선생님이셔.,나: 안녕하세요? 처음 뵙겠습니다.,,,,,,,,,,,,,,,
4840,가: 안녕하세요. 무역 회사에서 근무하고 있는 이승규 과장입니다,나: 저도 인사를 드려야죠. 저는 김민준 과장입니다.,,,,,,,,,,,,,,,
4841,가: 그동안 많이 도와주신 것에 대해 감사의 인사를 드리러 왔습니다.,나: 내가 뭐 도운 게 있다고 인사까지 하나.,,,,,,,,,,,,,,,
4842,가: 인터넷 강의를 듣는 건 어때?,나: 집에서 원하는 시간에 들으니까 편하고 좋아.,,,,,,,,,,,,,,,
4843,"가: 언니, 이 단어 발음을 어떻게 하는 거야?",나: 내가 읽어 볼 테니까 잘 들어 봐.,,,,,,,,,,,,,,,
4844,"가: 여보, 세탁기가 작동이 안 돼요.",나: 일단 사용 설명서를 잘 읽어 봐요.,,,,,,,,,,,,,,,
4845,가: 톨스토이를 읽는 거 보니 세계 문학에 관심이 많으신가 봐요.,나: 그런 건 아니고 워낙 유명해서 사 봤어요.,,,,,,,,,,,,,,,
4846,"가: 형, 이 그래프 좌표 어떻게 읽어?",나: 너 지난 수학 시간에 배웠다면서 또 잊어버렸구나.,,,,,,,,,,,,,,,
4847,가: 어떻게 하면 주식 투자로 수익을 올릴 수 있을까요?,나: 그러려면 세계의 경제 흐름을 읽을 줄 알아야 합니다.,,,,,,,,,,,,,,,
4848,"가: 감독님, 이번 오디션에서 왜 그 사람을 뽑으셨어요?",나: 난 그의 눈에서 그 누구보다 큰 열정과 집념을 읽었어.,,,,,,,,,,,,,,,
4849,"가: 김 선수, 과연 수 읽기의 천재입니다.","나: 네, 저 선수처럼 상대편의 수를 미리 정확하게 읽어 내는 선수가 있을까요?",,,,,,,,,,,,,,,
4850,가: 컴퓨터가 파일을 읽을 수 없대.,나: 바이러스에 감염됐나 봐.,,,,,,,,,,,,,,,
4851,"가: 김 작가, 일부에서는 자네 글이 여성을 비하한다고 하더군.",나: 전체적인 흐름을 보지 못하고 그렇게 읽는 사람들이 종종 있어요.,,,,,,,,,,,,,,,
4852,가: 회사 사무실은 보안이 철저히 되고 있나요?,나: 그럼요. 사무실 입구에서 출입증 검사를 하고 있어요.,,,,,,,,,,,,,,,
4853,가: 나도 이제 자동차를 몰 수 있어!,나: 면허를 딴 거야? 축하해.,,,,,,,,,,,,,,,
4854,가: 집에서 학교까지는 어떻게 오니?,나: 자전거로 10분 정도 걸려.,,,,,,,,,,,,,,,
4855,가: 큰아버지 칠순 잔치 초대장을 받았어. 호텔 뷔페에서 한대.,"나: 와, 맛있는 음식이 많겠네.",,,,,,,,,,,,,,,
4856,가: 지금 버스를 타면 시청에 몇 시쯤 도착할 수 있을까?,나: 지금은 퇴근 시간이어서 거리에 차가 많을 테니 전철이 빠를 것 같아.,,,,,,,,,,,,,,,
4857,가: 이곳 경치가 너무 아름다워서 왕이 가사를 지었다며?,"나: 응, 그 가사는 아직도 이 마을 사람들을 통해 전하고 있어.",,,,,,,,,,,,,,,
4858,가: 이 서류를 옆 부서에 좀 전해 주게.,나: 오늘까지만 보내면 되는 겁니까?,,,,,,,,,,,,,,,
4859,가: 경주에는 옛 유물들이 참 많이 남아 있어.,"나: 응, 우리 선조들은 이렇게 훌륭한 유산들을 우리에게 전해 주신 거야.",,,,,,,,,,,,,,,
4860,가: 지수 만나면 내가 내일 전화하겠다고 좀 전해 줘.,나: 알았어. 오늘 학교에서 만나면 전할게.,,,,,,,,,,,,,,,
4861,"가: 김 대리, 나한테 온 전화 없었나?",나: 사모님께서 들어오시면 전화 한 통 부탁 드린다고 하셨습니다.,,,,,,,,,,,,,,,
4862,가: 전화가 먹통이네.,나: 또 고장이 났나 보다.,,,,,,,,,,,,,,,
4863,"가: 앗, 내려야 할 정거장을 그냥 지나쳤어.",나: 그래? 기사 아저씨한테 잠시만 세워 달라고 하자.,,,,,,,,,,,,,,,
4864,가: 거의 다 왔지?,나: 응. 다음 정류장에서 내리면 돼.,,,,,,,,,,,,,,,
4865,가: 약속 시간을 새벽 다섯 시로 정하면 너무 이르지 않을까요?,나: 오전 중에 목적지에 도착하려면 그 시간에는 출발해야 할 거야.,,,,,,,,,,,,,,,
4866,가: 어떻게 할 건지 마음은 정했니?,"나: 네, 선생님께서 말씀하신 그 일을 하겠습니다.",,,,,,,,,,,,,,,
4867,가: 이건 뭐니?,나: 친구가 저에게 준 선물이에요.,,,,,,,,,,,,,,,
4868,가: 어떻게 숨 쉴 틈도 주지 않고 일을 시켜?,나: 미안해. 그렇지만 시간이 정말 촉박해서 나도 어쩔 수가 없어.,,,,,,,,,,,,,,,
4869,"가: 선생님, 문제 풀이 과정도 꼭 써서 내야 하나요?","나: 네, 풀이 과정을 잘 쓴 학생들에게 추가 점수를 줄 겁니다.",,,,,,,,,,,,,,,
4870,가: 이 대리. 나라고 그 임무를 당신에게 주는 것이 즐거울 것 같습니까?,나: 글쎄요. 저도 아니라고 믿고 싶습니다. 부장님.,,,,,,,,,,,,,,,
4871,가: 왜 그렇게 친구한테 화를 낸 거야?,나: 나에게 무안을 준 것에 화가 많이 났었어.,,,,,,,,,,,,,,,
4872,가: 연이 높이 안 난다.,나: 연줄을 좀 더 줘야 높이 날지.,,,,,,,,,,,,,,,
4873,가: 왜 갑자기 남자친구랑 헤어지게 된 거야?,나: 나도 모르겠어. 그 사람은 나에게 어떠한 여지도 주지 않고 떠났어.,,,,,,,,,,,,,,,
4874,가: 승규가 지수한테 관심이 있나 봐.,"나: 맞아, 자꾸 눈길을 지수한테 주던데.",,,,,,,,,,,,,,,
4875,가: 이제 주사를 줄 거니까 엉덩이에 힘 빼세요.,나: 아프지 않게 살살 놔 주세요.,,,,,,,,,,,,,,,
4876,가: 차가 움직이기 시작했는데 이제 어떻게 하면 되죠?,"나: 자, 천천히 페달을 밟아 차에 속력을 주세요.",,,,,,,,,,,,,,,
4877,가: 여자 친구랑 헤어지고 나서는 좀 어때?,나: 난 걔한테 사랑을 주었지만 이제 상처뿐이야.,,,,,,,,,,,,,,,
4878,가: 일 안 하고 주부로 지내니까 어때?,나: 밥하고 청소하고 빨래하니까 회사 일을 하는 것보다 바빠.,,,,,,,,,,,,,,,
4879,가: 이곳은 주차 금지 구역입니다.,나: 그렇군요. 그럼 제가 다른 곳에 차를 대겠습니다.,,,,,,,,,,,,,,,
4880,가: 오늘은 차 타고 가는 거 어때?,"나: 그래, 주차장에 가서 차를 가지고 올 테니까 잠깐 기다려.",,,,,,,,,,,,,,,
4881,가: 경기는 어떻게 되었어?,나: 우리 팀이 아깝게 져서 준우승을 하고 말았어.,,,,,,,,,,,,,,,
4882,가: 횡단보도가 없는데 어디로 길을 건너지?,나: 지하도로 건너가면 되잖아.,,,,,,,,,,,,,,,
4883,가: 버스 타고 갈까?,나: 길이 많이 막히니까 지하철 타고 가는 게 더 나을 것 같아.,,,,,,,,,,,,,,,
4884,가: 지금 어디야?,나: 지하철역에 거의 다 도착했어.,,,,,,,,,,,,,,,
4885,가: 요즘 대학생들은 어떤 직업을 갖기를 원합니까?,나: 공무원이나 선생님을 많이 선호하는 편입니다.,,,,,,,,,,,,,,,
4886,가: 애프터서비스를 받으려고 찾아왔는데요.,나: 담당 직원이 잠시 자리를 비운 것 같으니 잠시만 기다려 주세요.,,,,,,,,,,,,,,,
4887,가: 직장에서 신뢰 받는 사람이 되려면 어떻게 해야 할까요?,나: 무엇보다 부지런하고 성실해야겠지요.,,,,,,,,,,,,,,,
4888,가: 넌 언제까지 집에서 놀고만 있을래?,나: 직장이 안 구해지는 걸 어떻게 하라고요.,,,,,,,,,,,,,,,
4889,가: 지금 보고 계신 작품에 대해 질문이 있으면 해 주십시오.,나: 작가가 언제 그린 작품이죠?,,,,,,,,,,,,,,,
4890,가: 오늘 박 대리네서 집들이가 있대요.,"나: 아, 얼마 전에 이사를 했다더니 드디어 집을 공개하는군!",,,,,,,,,,,,,,,
4891,가: 짐은 어디로 옮길까요?,나: 멀리까지 가져가야 하니 차에 싣자.,,,,,,,,,,,,,,,
4892,"가: 차를 가지고 가야 되는데, 모두 몇 명이지?",나: 네 명이니까 한 차로 가면 되겠는데요.,,,,,,,,,,,,,,,
4893,가: 장기는 어떻게 끝났어?,나: 내가 차로 궁을 잡아서 이겼어.,,,,,,,,,,,,,,,
4894,"가: 엄마, 담임 선생님을 왜 찾아갔어요?",나: 선생님께서 너에 대해 상담할 것이 있다고 오라셨어.,,,,,,,,,,,,,,,
4895,가: 나한테 맡긴 짐 도로 찾아가.,나: 사정이 있어서 그러는데 조금만 더 맡아 주면 안 될까?,,,,,,,,,,,,,,,
4896,가: 질문이 있는 사람은 언제든지 교무실로 찾아오세요.,"나: 네, 선생님.",,,,,,,,,,,,,,,
4897,가: 차가 고장 났다면서?,나: 응. 수리소에 맡겼는데 오늘 찾아올 거야.,,,,,,,,,,,,,,,
4898,가: 유난히 추웠던 겨울이 어느새 지나갔네.,"나: 응, 벌써 봄이 찾아오고 있어.",,,,,,,,,,,,,,,
4899,가: 너 시민 혁명에 대해서 잘 아니?,"나: 아니, 궁금하면 도서관에 가서 관련된 책을 한번 찾아 봐.",,,,,,,,,,,,,,,
4900,가: 이렇게 집까지 와 주셔서 정말 감사합니다.,나: 천만에요. 저녁 식사 초대에 얼마나 기뻤는지 모릅니다.,,,,,,,,,,,,,,,
4901,가: 너도 혹시 동창회가 열린다는 초대장을 받았니?,"나: 응, 그런데 나는 그날 선약이 있어서 못 갈 것 같아.",,,,,,,,,,,,,,,
4902,가: 제가 드디어 시험에 합격했습니다.,나: 정말 잘됐군요! 진심으로 축하를 드립니다.,,,,,,,,,,,,,,,
4903,가: 휴가 때 뭐 하실 계획이세요?,나: 오랜만에 출근도 안 하니 집에서 실컷 잠이나 자려고요.,,,,,,,,,,,,,,,
4904,가: 약속 장소에 언제까지 올 수 있어?,나: 미안해. 아직 집에서 출발도 못 했어.,,,,,,,,,,,,,,,
4905,가: 사장님을 좀 뵐 수 있을까요?,나: 지금은 출장 중이셔서 회사에 안 계십니다.,,,,,,,,,,,,,,,
4906,가: 집이 회사에서 멀다고 들었는데 힘들지 않아요?,"나: 네, 출퇴근을 하는 데에만 네 시간이 걸려서 정말 힘들어요.",,,,,,,,,,,,,,,
4907,가: 비가 와서 소풍을 못 가다니 정말 속상해요.,나: 갑자기 취소가 되는 바람에 다른 애들도 아쉬워하겠구나.,,,,,,,,,,,,,,,
4908,가: 특별히 취직을 하고 싶은 곳이 있습니까?,나: 저는 패션에 관심이 많아서 의류 회사에 들어갔으면 합니다.,,,,,,,,,,,,,,,
4909,가: 우리 아이는 성격이 내성적이라 친구가 없어서 걱정이에요.,나: 걱정하지 마세요. 차차 나아지겠죠.,,,,,,,,,,,,,,,
4910,가: 두 사람은 퍽 친했던 것 같은데 요즘은 조금 어색해 보여요.,나: 얼마 전에 싸운 후로 아직 화해를 안 해서 그럴 거야.,,,,,,,,,,,,,,,
4911,가: 오늘은 사장님께 종일 꾸지람을 들어서 기분이 영 안 좋군요.,나: 항상 칭찬만 받을 수는 없으니 너무 실망하지 마세요.,,,,,,,,,,,,,,,
4912,가: 출입 카드를 모르고 안 가지고 왔는데 어떻게 할까요?,나: 저쪽 사무실에 가서 신분증을 보여 주시고 임시 출입 카드를 받으셔야 해요.,,,,,,,,,,,,,,,
4913,가: 이 꽃은 누가 보낸 거지?,나: 그 꽃다발 안에 카드가 있는 것 같은데 한 번 뭐라고 쓰여 있나 봐 봐.,,,,,,,,,,,,,,,
4914,가: 이 책을 빌리고 싶은데요.,"나: 그럼 여기 대출 카드에 날짜랑 본인 이름, 연락처를 적어 주세요.",,,,,,,,,,,,,,,
4915,가: 이 카드 중에서 마음에 드는 거 한 장을 뽑아 봐.,나: 마술이라도 보여 주는 거야?,,,,,,,,,,,,,,,
4916,가: 오빠가 무슨 수로 이 일을 해결해?,"나: 하하, 나에게는 비장의 카드가 있지.",,,,,,,,,,,,,,,
4917,가: 이번 달 카드 대금이 너무 많이 나왔어.,나: 이제부터는 예산을 짜서 계획적으로 지출하는 습관을 들이도록 해 봐.,,,,,,,,,,,,,,,
4918,가: 컴퓨터 메모리 카드를 바꾸려고 하는데요.,"나: 네, 좀 더 용량이 큰 것으로 바꾸시게요?",,,,,,,,,,,,,,,
4919,가: 저기 사람들이 많이 모여 있어. 무슨 일이지?,나: 큰소리가 나는 걸로 봐서 누가 싸우고 있는 게 아닐까?,,,,,,,,,,,,,,,
4920,가: 내가 마음만 먹으면 못 할 일이 없다니까.,나: 그렇게 큰소리만 치지 말고 한번 좀 해 보세요.,,,,,,,,,,,,,,,
4921,가: 요즘 큰형님께서 힘이 없어 보여요.,"나: 그러게요. 그렇게 큰소리를 치며 사시던 분인데, 무슨 일이 있는 게 아닐까요?",,,,,,,,,,,,,,,
4922,가: 저기 사고가 크게 났네요.,나: 차에 탄 사람들이 많이 안 다쳤으면 좋겠네요.,,,,,,,,,,,,,,,
4923,가: 여기서 가장 가까운 마을로 가려면 어느 쪽으로 가야 하죠?,나: 이 도로를 타고 이 십분 정도 가시면 됩니다.,,,,,,,,,,,,,,,
4924,가: 등산 코스는 정했어? 평소에 다니던 길로 갈까?,"나: 아니, 오늘은 이쪽 능선을 타고 산 정상까지 가 보자.",,,,,,,,,,,,,,,
4925,가: 어제 체육 대회에서 난생 처음 목말을 타 봤어.,나: 무섭지 않았니?,,,,,,,,,,,,,,,
4926,"가: 지수한테 얘기해야 하는데, 미안해서 말을 못 하겠어.",나: 내가 기회를 타서 얘기해 볼게.,,,,,,,,,,,,,,,
4927,가: 승규는 어쩌다가 방송을 타게 된 거래?,나: 승규가 위험에 처한 행인을 도와주는 모습이 뉴스에 나왔나 봐.,,,,,,,,,,,,,,,
4928,가: 내일 인라인스케이트 타러 공원에 갈래?,나: 난 인라인스케이트 탈 줄 모르는데.,,,,,,,,,,,,,,,
4929,가: 이번에는 뭘 타러 갈까?,나: 놀이공원에 왔으면 뭐니 뭐니 해도 롤러코스터를 타야지!,,,,,,,,,,,,,,,
4930,가: 오늘 집에 있으면 택배 좀 대신 받아 줘.,나: 몇 시쯤에 오는데?,,,,,,,,,,,,,,,
4931,가: 술 한잔했으니 택시를 타고 집에 가자.,나: 주말 밤이라 그런지 택시가 잘 안 잡히네.,,,,,,,,,,,,,,,
4932,가: 이 버스는 부산까지 가지 않을 텐데 어떻게 하실 겁니까?,나: 그렇지 않아도 다음 터미널에서 갈아탈 생각입니다.,,,,,,,,,,,,,,,
4933,가: 통화는 다 했어?,나: 응. 기다리게 해서 미안. 얘기하다 보니 통화가 길어졌네.,,,,,,,,,,,,,,,
4934,가: 죄송하지만 전화 한 통화만 쓸 수 있을까요?,나: 물론이죠. 얼마든지 쓰세요.,,,,,,,,,,,,,,,
4935,"가: 여보, 오늘은 왜 이렇게 늦게 왔어요?",나: 말도 말아요. 팀장님이 퇴근 시간에 회의를 소집했지 뭐야.,,,,,,,,,,,,,,,
4936,가: 아버지는 어떤 일을 하시니?,나: 저희 아버지께서는 트럭을 운전하세요.,,,,,,,,,,,,,,,
4937,가: 어제는 뭐 했니?,나: 오랜만에 보고 싶은 친구한테 편지를 썼어.,,,,,,,,,,,,,,,
4938,가: 프로그램은 다 나왔지?,나: 연설자 한 분이 못 오실 수 있다고 해서 아직 안 나왔어요.,,,,,,,,,,,,,,,
4939,가: 어제 밤 텔레비전에서 한 코미디 프로그램 봤어?,"나: 아, 개그맨들이랑 가수들이랑 나와서 달리기 시합하던 프로그램 말하는 거지?",,,,,,,,,,,,,,,
4940,가: 내 하드 디스크가 아무래도 바이러스에 감염된 것 같아.,나: 검사해 보고 감염돼 있으면 백신 프로그램으로 빨리 치료해야 돼.,,,,,,,,,,,,,,,
4941,"가: 할머니, 한글 배우는 게 어렵지 않으세요?",나: 하나도 안 어려워. 이렇게 쉽고 재미있는 줄 알았으면 더 일찍 배울 것을 그랬어.,,,,,,,,,,,,,,,
4942,가: 시험 합격하면 한턱 쏴.,"나: 응, 알았어. 내가 거하게 한 번 살게!",,,,,,,,,,,,,,,
4943,가: 비행기 값이 비싸지는 않았어?,나: 응. 저가 항공으로 비행기 좌석을 예매했더니 싸게 여행할 수 있었어.,,,,,,,,,,,,,,,
4944,"가: 항공권을 예약해야 하는데, 몇 시 비행기로 할까?","나: 음, 오전 10시 비행기를 타는 게 좋을 것 같아.",,,,,,,,,,,,,,,
4945,가: 내 결혼식에 와 줄 거지?,나: 그럼. 네 인생에서 가장 큰 행사인데 당연히 가야지.,,,,,,,,,,,,,,,
4946,가: 오늘은 이만 헤어지고 다음 주에 보자.,"나: 응, 전화할게.",,,,,,,,,,,,,,,
4947,가: 무슨 안 좋은 일이 있었나요?,나: 애인과 헤어져서 요즘 힘들어요.,,,,,,,,,,,,,,,
4948,가: 왜 말을 제대로 못 하니?,나: 피곤해서 그런지 혀가 헤어져 버렸어.,,,,,,,,,,,,,,,
4949,가: 선생님 댁에 한번 찾아 뵙겠습니다.,나: 그러시지요. 언제든 환영입니다.,,,,,,,,,,,,,,,
4950,가: 왜 회사를 옮기려고 해요?,나: 지금 다니는 회사에서 하고 있는 일은 제 꿈과 거리가 멀어서요.,,,,,,,,,,,,,,,
4951,가: 선본 남자는 어떤 사람이에요?,나: 성실해 보이는 30대 회사원이에요.,,,,,,,,,,,,,,,
4952,가: 내일 열리는 회의의 주요 안건은 무엇인가?,나: 신제품 출시 전략에 대한 것입니다.,,,,,,,,,,,,,,,
4953,"가: 실례합니다만, 여기에서 우체국까지 어떻게 가죠?",나: 저 앞 사거리에서 횡단보도를 건너면 오른쪽에 있습니다.,,,,,,,,,,,,,,,
4954,"가: 선배님, 늘 조언해 주셔서 감사합니다.",나: 후배에게 조언해 주는 것은 선배로서 당연한 일 아니겠나.,,,,,,,,,,,,,,,
4955,가: 요즘 뜨고 있는 김 작가가 학교 후배라며?,나: 응. 그 친구 학교 다닐 때부터 아주 똘똘했지.,,,,,,,,,,,,,,,
4956,가: 민준이 휴대폰 번호 알아?,나: 잠깐만. 내 휴대폰에 저장되어 있을 거야.,,,,,,,,,,,,,,,
4957,가: 요즘 일자리 알아보고 있다면서?,나: 가정주부로서 집안일만 하다 보니까 내 삶을 찾고 싶다는 생각이 들어서.,,,,,,,,,,,,,,,
4958,가: 서울과 부산 간의 거리는 얼마나 됩니까?,나: 사백 킬로미터가 넘습니다.,,,,,,,,,,,,,,,
4959,가: 학생들 간에 성적 차이가 많이 납니까?,나: 과목에 따라 다른데 국어 성적은 차이가 많이 납니다.,,,,,,,,,,,,,,,
4960,가: 이번 공연에 관객들이 많이 올까요?,나: 관객이 많이 오든 말든 간에 일단은 최선을 다해서 준비합시다.,,,,,,,,,,,,,,,
4961,가: 학생들이 휴대 전화로 커닝을 하는 일이 늘고 있습니다.,나: 아무래도 시험 감독을 보다 강화해야겠군요.,,,,,,,,,,,,,,,
4962,가: 저는 새로 공사 현장 지휘를 맡게 된 현장 감독입니다.,나: 공사가 문제없이 이뤄질 수 있도록 잘 부탁드립니다.,,,,,,,,,,,,,,,
4963,가: 두 영화가 분위기가 비슷하네.,나: 같은 감독이 만든 영화라서 그런가 봐.,,,,,,,,,,,,,,,
4964,가: 많은 나라들이 8년 뒤에 열리는 올림픽 개최 경쟁에 뛰어들었다면서요?,나: 네. 유치에 성공하기 위해 각국의 대통령들도 적극적으로 나서고 있습니다.,,,,,,,,,,,,,,,
4965,가: 요즘 매일 집에서 잠만 자니까 아내 눈치가 보여.,나: 그러지 말고 가끔 집안일도 좀 거들지 그래.,,,,,,,,,,,,,,,
4966,가: 내가 앞집 여자하고 싸우면 당신이 옆에서 내 말을 거들어 줘야 하는 거 아냐?,나: 하지만 당신이 잘못한 건 사실이잖아.,,,,,,,,,,,,,,,
4967,가: 빨리 건널목 건너가자.,나: 곧 기차 올 것 같으니까 조금 기다리자.,,,,,,,,,,,,,,,
4968,"가: 엄마, 이 강은 어떻게 건너가요?",나: 조금만 더 가면 건널목이 보일 거야.,,,,,,,,,,,,,,,
4969,가: 아까 그 남자애가 너한테 준 거 뭐야?,나: 나한테 편지를 슬쩍 건네더라고.,,,,,,,,,,,,,,,
4970,가: 졸업하기 전에 지수한테 말이라도 한번 건네 볼 걸 그랬나 봐.,나: 말도 한번 안 걸어 봤단 말이야?,,,,,,,,,,,,,,,
4971,"가: 할아버지, 형한테 전화 왔어요.",나: 전화기를 이리로 좀 건네주렴.,,,,,,,,,,,,,,,
4972,가: 범인들이 들여오던 마약은 어떻게 발견됐나요?,나: 책 속에 숨겨 온 것을 세관 검색에서 잡아냈습니다.,,,,,,,,,,,,,,,
4973,가: 여행을 떠나기 전에 뭘 준비하는 게 좋을까?,나: 일단 주요 관광지는 인터넷으로 검색을 해서 알아보자.,,,,,,,,,,,,,,,
4974,가: 승규가 시험 준비로 많이 힘들어하고 있어.,나: 그럼 우리가 힘내라고 격려를 해 주는 건 어때?,,,,,,,,,,,,,,,
